# Contents:,Laser Egg f58c98f3-3e63-477d-9091-f501d45d6c5a 34 hours raw data
# Sent To:,<pvschaikm@gmail.com>
# Generated At:,2025-04-26 13:57
# Time Span:,2025-04-25 13:56 to 2025-04-26 23:59
# Row Count:,274
# Time Zone:,UTC+0100
Time Point,PM10 (µg/m³),PM2.5 (µg/m³),humidity (%),st03.TVOC (ppb),temp (C),Overall Index (US),Primary Pollutant
2025-04-25 17:35:14,,,48.5,,24,,
2025-04-25 17:36:14,5,4,48.92,,24.02,16,PM2.5
2025-04-25 17:37:14,5,4,50.63,,23.67,16,PM2.5
2025-04-25 17:38:14,7,7,52.75,,23.52,29,PM2.5
2025-04-25 17:39:13,7,7,53.24,,23.38,29,PM2.5
2025-04-25 17:40:13,8,7,52.97,,23.27,29,PM2.5
2025-04-25 17:41:13,7,7,52.66,2,23.19,29,PM2.5
2025-04-25 17:42:13,8,8,52.47,3,23.1,33,PM2.5
2025-04-25 17:43:13,9,9,52.77,9,23.02,37,PM2.5
2025-04-25 17:44:13,10,10,53.06,30,22.96,42,PM2.5
2025-04-25 17:45:13,12,12,53.47,53,22.92,50,PM2.5
2025-04-25 17:46:13,12,12,53.67,60,22.88,50,PM2.5
2025-04-25 17:47:13,15,14,53.63,66,22.84,55,PM2.5
2025-04-25 17:48:12,16,16,53.86,67,22.82,59,PM2.5
2025-04-25 17:49:12,18,16,54.62,91,22.82,59,PM2.5
2025-04-25 17:50:12,18,17,54.59,89,22.8,61,PM2.5
2025-04-25 17:51:12,20,18,54.9,99,22.81,63,PM2.5
2025-04-25 17:52:12,21,20,55.19,109,22.81,67,PM2.5
2025-04-25 17:53:12,23,22,55.12,98,22.82,72,PM2.5
2025-04-25 17:54:12,21,20,55.12,103,22.82,67,PM2.5
2025-04-25 17:55:12,23,22,55.58,113,22.84,72,PM2.5
2025-04-25 17:56:12,25,21,55.21,107,22.85,70,PM2.5
2025-04-25 17:57:12,19,19,55.28,105,22.86,65,PM2.5
2025-04-25 17:58:12,22,22,55.25,106,22.87,72,PM2.5
2025-04-25 17:59:11,21,20,55.42,116,22.89,67,PM2.5
2025-04-25 18:00:11,22,21,55.31,109,22.89,70,PM2.5
2025-04-25 18:01:11,20,19,55.11,100,22.91,65,PM2.5
2025-04-25 18:02:11,22,19,55.45,109,22.92,65,PM2.5
2025-04-25 18:03:11,23,20,55.2,99,22.93,67,PM2.5
2025-04-25 18:04:11,20,19,55.11,99,22.95,65,PM2.5
2025-04-25 18:05:11,20,19,55.3,103,22.96,65,PM2.5
2025-04-25 18:06:11,21,21,54.98,92,22.97,70,PM2.5
2025-04-25 18:07:11,20,19,55.33,99,22.99,65,PM2.5
2025-04-25 18:08:11,20,17,55.09,93,23.02,61,PM2.5
2025-04-25 18:09:11,19,17,54.7,75,23.04,61,PM2.5
2025-04-25 18:10:11,16,15,54.35,61,23.06,57,PM2.5
2025-04-25 18:11:11,12,12,53.9,26,23.08,50,PM2.5
2025-04-25 18:12:10,13,13,53.2,0,23.1,52,PM2.5
2025-04-25 18:13:10,12,11,52.58,0,23.12,46,PM2.5
2025-04-25 18:14:10,9,9,52.27,0,23.13,37,PM2.5
2025-04-25 18:15:10,9,9,51.89,0,23.13,37,PM2.5
2025-04-25 18:16:10,8,7,52.29,2,23.13,29,PM2.5
2025-04-25 18:17:10,6,6,52.03,0,23.15,25,PM2.5
2025-04-25 18:18:10,7,6,51.75,0,23.17,25,PM2.5
2025-04-25 18:19:10,6,6,51.72,0,23.2,25,PM2.5
2025-04-25 18:20:10,5,5,51.56,0,23.22,21,PM2.5
2025-04-25 18:21:09,7,6,51.51,0,23.25,25,PM2.5
2025-04-25 18:22:09,5,5,51.12,0,23.27,21,PM2.5
2025-04-25 18:23:09,4,4,51.46,5,23.29,16,PM2.5
2025-04-25 18:24:09,4,4,51.53,29,23.33,16,PM2.5
2025-04-25 18:25:09,4,4,50.99,5,23.36,16,PM2.5
2025-04-25 18:26:09,3,3,50.61,0,23.38,12,PM2.5
2025-04-25 18:27:09,3,2,50.41,1,23.41,8,PM2.5
2025-04-25 18:28:09,4,4,48.5,0,23.4,16,PM2.5
2025-04-25 18:29:09,6,5,48.49,0,23.38,21,PM2.5
2025-04-25 18:30:09,4,4,48.6,0,23.36,16,PM2.5
